Vacuum Cleaner|293.80
Kettle|84.95
IKEA-1|589.85
IKEA-2|580
IKEA-3|240.85
IKEA-4|677.50
IKEA-5|122.45
IKEA-6|89.95
Couch|1199.95
Gaming Chair|439
Casa|89.98
TV|1117.40
MIGROS HOME-1|158.35
MIGROS HOME-2|135.50
MIGROS HOME-3|90.65
MIGROS HOME-4|41.30
MIGROS HOME-5|21.90
Filter|19.95
